work,dimension,population_size,max_gens,alpha,RAM,PKG,seconds,generations,diff_fitness,evaluations,initial_temp
base-intel-2, 10, 200, 10, 10, 16.29, 125.38, 19.40403029, , 0, , 63.0
intel-2, 10, 200, 10, 10, 20.93, 166.67, 26.19190230, 19, 6.68168000000003, 35462, 60.0
base-intel-2, 10, 200, 10, 10, 15.57, 122.20, 19.26302797, , 0, , 59.0
intel-2, 10, 200, 10, 10, 20.87, 168.31, 26.17017920, 15, 6.39066200000002, 28138, 60.0
base-intel-2, 10, 200, 10, 10, 16.65, 124.63, 19.82581275, , 0, , 60.0
intel-2, 10, 200, 10, 10, 22.16, 168.24, 26.73596173, 17, 3.364915, 31810, 66.0
base-intel-2, 10, 200, 10, 10, 15.37, 125.85, 19.22183257, , 0, , 63.0
intel-2, 10, 200, 10, 10, 21.52, 168.74, 26.71361626, 21, 4.26711399999999, 38979, 62.0
base-intel-2, 10, 200, 10, 10, 15.61, 124.20, 19.41148484, , 0, , 65.0
intel-2, 10, 200, 10, 10, 21.20, 169.21, 26.16999206, 18, 6.00883299999998, 33679, 62.0
base-intel-2, 10, 200, 10, 10, 16.56, 125.56, 19.69781892, , 0, , 60.0
intel-2, 10, 200, 10, 10, 20.53, 165.74, 26.02124365, 20, 4.44536399999998, 37324, 60.0
base-intel-2, 10, 200, 10, 10, 16.15, 123.49, 19.53180058, , 0, , 61.0
intel-2, 10, 200, 10, 10, 21.29, 167.59, 26.24441249, 16, 5.96884299999999, 29833, 58.0
base-intel-2, 10, 200, 10, 10, 15.33, 124.83, 19.09640746, , 0, , 58.0
intel-2, 10, 200, 10, 10, 22.62, 174.10, 26.82350149, 14, 4.474716, 26411, 60.0
base-intel-2, 10, 200, 10, 10, 16.06, 125.84, 19.40484968, , 0, , 62.0
intel-2, 10, 200, 10, 10, 21.01, 167.61, 26.60684988, 16, 3.14221000000003, 29897, 62.0
base-intel-2, 10, 200, 10, 10, 15.99, 124.57, 19.43110139, , 0, , 62.0
base-intel-2, 10, 200, 25, 10, 15.43, 124.39, 19.30883788, , 0, , 63.0
intel-2, 10, 200, 25, 10, 21.03, 168.61, 26.56320164, 43, 4.324861, 79620, 66.0
base-intel-2, 10, 200, 25, 10, 16.87, 126.58, 19.73662221, , 0, , 62.0
intel-2, 10, 200, 25, 10, 20.85, 165.23, 26.04510643, 29, 4.15410800000001, 53893, 61.0
base-intel-2, 10, 200, 25, 10, 15.90, 124.81, 19.40836412, , 0, , 59.0
intel-2, 10, 200, 25, 10, 21.08, 165.94, 26.30392423, 48, 3.49925400000001, 88709, 60.0
base-intel-2, 10, 200, 25, 10, 15.44, 120.03, 19.09285222, , 0, , 59.0
intel-2, 10, 200, 25, 10, 21.30, 167.72, 26.54351747, 41, 2.11723000000001, 76025, 65.0
base-intel-2, 10, 200, 25, 10, 15.71, 124.12, 19.27543878, , 0, , 60.0
intel-2, 10, 200, 25, 10, 21.25, 173.37, 26.74831961, 70, 3.70622200000003, 129595, 61.0
base-intel-2, 10, 200, 25, 10, 15.41, 121.19, 19.19253541, , 0, , 62.0
intel-2, 10, 200, 25, 10, 21.63, 168.47, 26.59147652, 52, 5.06215000000003, 96333, 63.0
base-intel-2, 10, 200, 25, 10, 16.04, 123.44, 19.52041491, , 0, , 63.0
intel-2, 10, 200, 25, 10, 21.42, 168.94, 26.46995912, 67, 4.90134999999998, 123680, 62.0
base-intel-2, 10, 200, 25, 10, 15.92, 126.02, 19.44782741, , 0, , 61.0
intel-2, 10, 200, 25, 10, 20.93, 166.38, 26.30134883, 29, 3.99388399999998, 54027, 60.0
base-intel-2, 10, 200, 25, 10, 15.98, 125.18, 19.26775723, , 0, , 62.0
intel-2, 10, 200, 25, 10, 21.39, 170.71, 26.51974113, 43, 3.83086400000002, 79743, 60.0
base-intel-2, 10, 200, 25, 10, 15.43, 120.79, 19.15966009, , 0, , 62.0
intel-2, 10, 200, 25, 10, 22.26, 173.06, 27.03486594, 58, 3.42046700000003, 107407, 59.0
base-intel-2, 10, 200, 25, 10, 16.12, 125.47, 19.47565234, , 0, , 60.0
intel-2, 10, 200, 25, 10, 21.04, 170.34, 26.35612391, 29, 3.97660500000001, 53807, 60.0
base-intel-2, 10, 200, 25, 10, 16.92, 126.86, 20.07951881, , 0, , 63.0
intel-2, 10, 200, 25, 10, 21.28, 169.65, 26.41712359, 73, 5.26462500000002, 134874, 63.0
base-intel-2, 10, 200, 25, 10, 15.80, 120.98, 19.33940643, , 0, , 64.0
intel-2, 10, 200, 25, 10, 21.61, 173.48, 26.61630519, 35, 4.37492800000001, 65026, 62.0
base-intel-2, 10, 200, 25, 10, 15.75, 124.19, 19.36756094, , 0, , 65.0
intel-2, 10, 200, 25, 10, 21.63, 172.10, 26.68899899, 29, 4.40414300000003, 53684, 60.0
base-intel-2, 10, 200, 25, 10, 15.70, 123.86, 19.11610471, , 0, , 60.0
intel-2, 10, 200, 25, 10, 21.42, 169.74, 26.45371756, 40, 4.027173, 74008, 61.0
base-intel-2, 10, 200, 25, 10, 16.43, 122.62, 19.64611528, , 0, , 59.0
intel-2, 10, 200, 25, 10, 21.14, 170.40, 26.43970224, 42, 4.20234900000003, 77727, 60.0
base-intel-2, 10, 200, 25, 10, 15.90, 126.07, 19.33847742, , 0, , 61.0
intel-2, 10, 200, 25, 10, 21.74, 170.88, 26.74863750, 54, 4.04532699999999, 100126, 66.0
base-intel-2, 10, 200, 25, 10, 15.54, 119.23, 19.19170157, , 0, , 64.0
intel-2, 10, 200, 25, 10, 21.57, 169.13, 26.69553800, 50, 4.673472, 92796, 66.0
base-intel-2, 10, 200, 25, 10, 15.98, 125.55, 19.46276171, , 0, , 63.0
intel-2, 10, 200, 25, 10, 21.74, 168.72, 26.50743431, 33, 5.15840200000002, 61112, 62.0
base-intel-2, 10, 200, 25, 10, 16.46, 127.69, 19.83156050, , 0, , 63.0
intel-2, 10, 200, 25, 10, 21.69, 169.68, 26.70555650, 31, 5.70405499999998, 57608, 60.0
base-intel-2, 10, 200, 25, 10, 16.15, 125.15, 19.39582474, , 0, , 65.0
intel-2, 10, 200, 25, 10, 21.71, 169.14, 26.71563061, 35, 4.53489999999999, 64989, 60.0
base-intel-2, 10, 200, 25, 10, 15.91, 124.01, 19.37429619, , 0, , 60.0
intel-2, 10, 200, 25, 10, 23.04, 174.97, 27.09680949, 40, 2.05191400000001, 74205, 60.0
base-intel-2, 10, 200, 25, 10, 16.14, 122.28, 19.58326255, , 0, , 62.0
