work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
hc-64-3, 10, 200, 10, 10, 419.10, 7.27485505, 25, 15.471624, 152363, 43.6, 40.4
base-hc-64-3, 10, 200, 10, 10, 251.57, 4.32690416, , 0, , 42.2, 38.8
hc-64-3, 10, 200, 10, 10, 408.20, 7.20341634, 17, 11.421997, 103343, 35.0, 33.0
base-hc-64-3, 10, 200, 10, 10, 249.29, 4.31968806, , 0, , 37.4, 33.5
hc-64-3, 10, 200, 10, 10, 419.58, 7.24140795, 41, 11.255148, 247041, 41.2, 34.6
base-hc-64-3, 10, 200, 10, 10, 333.28, 4.72833302, , 0, , 40.1, 37.0
hc-64-3, 10, 200, 10, 10, 462.33, 7.44467535, 23, 7.98322900000001, 137299, 43.2, 41.1
base-hc-64-3, 10, 200, 10, 10, 297.50, 4.55299691, , 0, , 43.2, 39.8
hc-64-3, 10, 200, 10, 10, 460.50, 7.46489259, 19, 11.431235, 113814, 38.9, 33.8
base-hc-64-3, 10, 200, 10, 10, 253.70, 4.33534033, , 0, , 37.1, 33.0
hc-64-3, 10, 200, 10, 10, 421.26, 7.28638386, 16, 23.20294, 95229, 42.2, 39.8
base-hc-64-3, 10, 200, 10, 10, 248.83, 4.34866685, , 0, , 42.8, 39.2
hc-64-3, 10, 200, 10, 10, 441.21, 7.34357317, 43, 14.556861, 258619, 41.8, 44.0
base-hc-64-3, 10, 200, 10, 10, 254.83, 4.37987391, , 0, , 34.4, 34.4
hc-64-3, 10, 200, 10, 10, 415.59, 7.27996419, 23, 16.041255, 138412, 37.4, 37.2
base-hc-64-3, 10, 200, 10, 10, 249.60, 4.34642202, , 0, , 38.4, 35.6
hc-64-3, 10, 200, 10, 10, 415.35, 7.23292125, 20, 17.502376, 120657, 39.8, 37.5
base-hc-64-3, 10, 200, 10, 10, 256.26, 4.35806276, , 0, , 39.6, 37.0
hc-64-3, 10, 200, 10, 10, 420.16, 7.22830105, 21, 13.387209, 126471, 37.9, 33.5
base-hc-64-3, 10, 200, 10, 10, 246.56, 4.30886371, , 0, , 35.2, 33.4
hc-64-3, 10, 200, 10, 10, 417.50, 7.28236379, 26, 11.804854, 155628, 38.4, 34.9
base-hc-64-3, 10, 200, 10, 10, 249.62, 4.30875656, , 0, , 42.5, 38.5
hc-64-3, 10, 200, 10, 10, 414.67, 7.26719514, 39, 7.214557, 234967, 38.4, 33.0
base-hc-64-3, 10, 200, 10, 10, 243.62, 4.29481503, , 0, , 37.4, 33.5
hc-64-3, 10, 200, 10, 10, 412.17, 7.25460950, 25, 12.987434, 147378, 37.4, 34.0
base-hc-64-3, 10, 200, 10, 10, 254.72, 4.35150355, , 0, , 39.1, 35.6
