work,dimension,population_size,max_gens,alpha,RAM,PKG,seconds,generations,diff_fitness,evaluations,initial_temp
base-intel, 10, 200, 10, 10, 14.93, 105.48, 16.81301072, , 0, , 61.0
intel, 10, 200, 10, 10, 20.53, 143.14, 23.22662943, 15, 7.81429300000002, 28041, 63.0
base-intel, 10, 200, 10, 10, 15.16, 109.27, 16.96269353, , 0, , 61.0
intel, 10, 200, 10, 10, 20.33, 145.67, 23.07296063, 23, 7.46376400000003, 42916, 60.0
base-intel, 10, 200, 10, 10, 14.92, 106.05, 16.79497362, , 0, , 59.0
intel, 10, 200, 10, 10, 20.44, 142.53, 23.07208678, 29, 3.42372599999999, 53920, 60.0
base-intel, 10, 200, 10, 10, 20.20, 106.58, 18.84647642, , 0, , 59.0
intel, 10, 200, 10, 10, 13.95, 157.78, 23.95262753, 40, 3.798519, 74053, 58.0
base-intel, 10, 200, 10, 10, 13.07, 110.53, 17.01648273, , 0, , 60.0
base-intel, 10, 200, 25, 10, 11.60, 109.99, 16.86894163, , 0, , 61.0
intel, 10, 200, 25, 10, 13.17, 157.72, 23.58847568, 85, 4.12487199999998, 157017, 62.0
base-intel, 10, 200, 25, 10, 9.66, 114.19, 16.83166039, , 0, , 63.0
intel, 10, 200, 25, 10, 25.57, 163.61, 26.64659066, 50, 5.63224600000001, 92420, 60.0
base-intel, 10, 200, 25, 10, 19.84, 111.86, 18.24851549, , 0, , 59.0
intel, 10, 200, 25, 10, 38.60, 158.90, 28.56889300, 39, 4.39401200000003, 72379, 61.0
base-intel, 10, 200, 25, 10, 24.80, 112.52, 19.66652728, , 0, , 59.0
intel, 10, 200, 25, 10, 31.02, 156.70, 26.24351261, 86, 4.01410500000003, 158879, 58.0
base-intel, 10, 200, 25, 10, 17.84, 106.82, 17.67959673, , 0, , 60.0
intel, 10, 200, 25, 10, 85.70, 223.70, 44.08160919, 54, 4.54296199999999, 99838, 59.0
base-intel, 10, 200, 25, 10, 64.60, 156.18, 33.22509969, , 0, , 60.0
intel, 10, 200, 25, 10, 70.85, 189.52, 39.14134893, 33, 5.74719700000003, 61401, 60.0
base-intel, 10, 200, 25, 10, 50.21, 131.89, 27.56663526, , 0, , 61.0
intel, 10, 200, 25, 10, 57.08, 178.59, 34.96626794, 27, 5.584405, 50108, 60.0
base-intel, 10, 200, 25, 10, 36.39, 122.81, 23.75041836, , 0, , 60.0
intel, 10, 200, 25, 10, 48.03, 169.09, 32.06761004, 44, 5.49998399999998, 81645, 59.0
base-intel, 10, 200, 25, 10, 23.63, 114.55, 19.75823005, , 0, , 59.0
intel, 10, 200, 25, 10, 48.59, 163.83, 32.43266601, 47, 4.14730800000001, 86918, 60.0
base-intel, 10, 200, 25, 10, 23.96, 114.81, 20.20416325, , 0, , 59.0
intel, 10, 200, 25, 10, 27.44, 152.76, 25.80699799, 35, 4.843727, 64755, 60.0
base-intel, 10, 200, 25, 10, 24.98, 117.01, 20.53582046, , 0, , 60.0
intel, 10, 200, 25, 10, 28.07, 155.18, 25.94644339, 71, 3.06709799999999, 131185, 59.0
base-intel, 10, 200, 25, 10, 18.42, 113.58, 18.36484043, , 0, , 60.0
intel, 10, 200, 25, 10, 30.40, 159.00, 27.04603245, 65, 2.34724399999999, 120298, 59.0
base-intel, 10, 200, 25, 10, 19.87, 113.00, 18.78391191, , 0, , 60.0
intel, 10, 200, 25, 10, 28.60, 154.52, 26.34055524, 100, 3.89146299999999, 184482, 59.0
base-intel, 10, 200, 25, 10, 22.07, 117.55, 19.57332926, , 0, , 59.0
intel, 10, 200, 25, 10, 42.27, 171.11, 30.62184960, 52, 4.42151799999999, 96428, 60.0
base-intel, 10, 200, 25, 10, 25.60, 116.33, 20.44881254, , 0, , 61.0
intel, 10, 200, 25, 10, 37.04, 163.62, 28.65521509, 37, 5.26861400000001, 68539, 61.0
base-intel, 10, 200, 25, 10, 30.11, 116.70, 22.06912778, , 0, , 59.0
intel, 10, 200, 25, 10, 37.72, 160.80, 28.50615237, 56, 5.45996500000001, 103775, 59.0
base-intel, 10, 200, 25, 10, 17.85, 110.38, 17.78263219, , 0, , 64.0
intel, 10, 200, 25, 10, 22.91, 147.67, 23.78327151, 30, 2.49436900000001, 55506, 59.0
base-intel, 10, 200, 25, 10, 17.17, 108.61, 17.58953216, , 0, , 59.0
intel, 10, 200, 25, 10, 40.80, 169.95, 29.32213982, 48, 1.589022, 88905, 60.0
base-intel, 10, 200, 25, 10, 27.34, 114.62, 20.73430552, , 0, , 61.0
intel, 10, 200, 25, 10, 44.24, 168.28, 30.15947698, 41, 5.90539100000001, 76093, 59.0
base-intel, 10, 200, 25, 10, 26.38, 115.88, 20.08955577, , 0, , 58.0
intel, 10, 200, 25, 10, 43.21, 171.07, 30.18374641, 37, 4.83514400000001, 68781, 61.0
base-intel, 10, 200, 25, 10, 24.99, 119.15, 19.93356399, , 0, , 59.0
intel, 10, 200, 25, 10, 35.25, 161.09, 27.75392512, 34, 1.53157299999998, 63037, 60.0
base-intel, 10, 200, 25, 10, 18.55, 109.83, 17.96101564, , 0, , 59.0
intel, 10, 200, 25, 10, 35.52, 165.01, 27.80100962, 40, 4.03085099999998, 74070, 60.0
base-intel, 10, 200, 25, 10, 32.83, 124.70, 22.42492266, , 0, , 61.0
intel, 10, 200, 25, 10, 38.92, 162.16, 28.81440585, 73, 3.673631, 135083, 63.0
base-intel, 10, 200, 25, 10, 20.96, 109.16, 18.70361190, , 0, , 60.0
intel, 10, 200, 25, 10, 28.03, 152.33, 25.23736561, 39, 5.35697500000003, 72360, 60.0
base-intel, 10, 200, 25, 10, 26.17, 118.50, 20.02899889, , 0, , 59.0
intel, 10, 200, 25, 10, 36.34, 159.71, 27.68920684, 62, 3.99938800000001, 114434, 58.0
base-intel, 10, 200, 25, 10, 27.38, 124.20, 20.59784670, , 0, , 59.0
