work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
balanced-4, 5, 400, 10, 10, 466.98, 9.36773449, 33, 0.145503000000005, 122931, 34.8, 34.4
base-balanced-4, 5, 400, 10, 10, 314.05, 6.71429816, , 0, , 33.0, 34.9
balanced-4, 5, 400, 10, 10, 467.84, 9.40303565, 39, 0.0644860000000023, 145117, 33.0, 32.0
base-balanced-4, 5, 400, 10, 10, 309.97, 6.67849322, , 0, , 33.5, 35.6
balanced-4, 5, 400, 10, 10, 465.29, 9.36927995, 24, 0.120748000000006, 89385, 34.5, 33.0
base-balanced-4, 5, 400, 10, 10, 308.88, 6.72670991, , 0, , 33.0, 33.9
balanced-4, 5, 400, 10, 10, 465.01, 9.31521059, 24, 0.264096000000009, 89814, 33.8, 32.0
base-balanced-4, 5, 400, 10, 10, 350.47, 6.88370485, , 0, , 32.5, 33.4
balanced-4, 5, 400, 10, 10, 670.65, 9.59345909, 20, 0.196049000000002, 74636, 37.4, 34.9
base-balanced-4, 5, 400, 10, 10, 489.13, 7.00531051, , 0, , 35.9, 37.8
balanced-4, 5, 400, 10, 10, 680.56, 9.61077437, 15, 0.0685250000000082, 56448, 37.9, 35.9
base-balanced-4, 5, 400, 10, 10, 475.37, 6.93703885, , 0, , 36.1, 36.2
balanced-4, 5, 400, 10, 10, 660.05, 9.56385449, 23, 0.197764000000006, 86111, 37.4, 35.9
base-balanced-4, 5, 400, 10, 10, 478.23, 6.94709856, , 0, , 35.9, 36.2
balanced-4, 5, 400, 10, 10, 666.48, 9.54223632, 26, 0.120523000000006, 97078, 36.9, 35.9
base-balanced-4, 5, 400, 10, 10, 484.38, 7.01017943, , 0, , 36.9, 36.8
balanced-4, 5, 400, 10, 10, 665.01, 9.56792779, 39, 0.132508999999999, 145231, 36.4, 36.2
base-balanced-4, 5, 400, 10, 10, 471.82, 6.96122858, , 0, , 37.1, 37.2
balanced-4, 5, 400, 10, 10, 667.22, 9.59747053, 17, 0.247492000000008, 63899, 37.6, 35.4
base-balanced-4, 5, 400, 10, 10, 487.26, 7.02712832, , 0, , 39.4, 38.2
balanced-4, 5, 400, 10, 10, 662.68, 9.57117062, 28, 0.066931000000011, 104610, 36.9, 36.8
base-balanced-4, 5, 400, 10, 10, 473.63, 6.93330542, , 0, , 37.6, 37.8
balanced-4, 5, 400, 10, 10, 665.61, 9.56305077, 18, 0.115183999999999, 67395, 37.4, 36.2
