work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
taskset-4, 10, 200, 10, 10, 457.65, 9.34344060, 16, 2.970689, 29803, 36.4, 34.4
base-taskset-4, 10, 200, 10, 10, 338.17, 6.91699696, , 0, , 44.0, 39.8
taskset-4, 10, 200, 10, 10, 463.04, 9.37953423, 31, 7.806481, 57448, 35.9, 33.5
base-taskset-4, 10, 200, 10, 10, 336.50, 6.91554418, , 0, , 40.8, 36.9
taskset-4, 10, 200, 10, 10, 434.83, 9.35577059, 14, 9.294054, 26244, 45.0, 41.5
base-taskset-4, 10, 200, 10, 10, 330.10, 6.94392515, , 0, , 35.9, 33.0
taskset-4, 10, 200, 10, 10, 448.03, 9.38645257, 21, 6.771961, 39039, 37.1, 33.5
base-taskset-4, 10, 200, 10, 10, 326.22, 6.94575564, , 0, , 36.9, 34.0
taskset-4, 10, 200, 10, 10, 436.65, 9.34975227, 16, 5.189724, 29819, 38.4, 36.4
base-taskset-4, 10, 200, 10, 10, 333.91, 6.96227165, , 0, , 38.4, 33.5
taskset-4, 10, 200, 10, 10, 436.42, 9.36362198, 20, 10.616274, 37321, 45.1, 40.1
base-taskset-4, 10, 200, 10, 10, 328.86, 6.95894812, , 0, , 42.2, 34.0
taskset-4, 10, 200, 10, 10, 446.04, 9.35162869, 23, 4.207541, 42745, 43.0, 37.5
base-taskset-4, 10, 200, 10, 10, 333.49, 6.94167524, , 0, , 44.1, 38.2
taskset-4, 10, 200, 10, 10, 451.54, 9.30849202, 21, 6.578222, 39090, 35.0, 32.8
base-taskset-4, 10, 200, 10, 10, 333.70, 6.92232960, , 0, , 40.8, 38.2
taskset-4, 10, 200, 10, 10, 460.04, 9.31047966, 22, 8.298316, 40875, 36.1, 33.9
base-taskset-4, 10, 200, 10, 10, 338.76, 6.94821748, , 0, , 36.1, 33.5
taskset-4, 10, 200, 10, 10, 434.30, 9.33745909, 28, 5.640854, 51916, 36.9, 34.4
base-taskset-4, 10, 200, 10, 10, 337.35, 6.93579798, , 0, , 36.4, 33.2
taskset-4, 10, 200, 10, 10, 457.52, 9.35246064, 22, 7.563346, 40885, 40.8, 34.9
base-taskset-4, 10, 200, 10, 10, 324.12, 6.92243549, , 0, , 37.9, 35.9
taskset-4, 10, 200, 10, 10, 452.44, 9.40977233, 20, 7.528157, 37225, 34.0, 31.5
base-taskset-4, 10, 200, 10, 10, 338.59, 6.91981511, , 0, , 34.0, 32.0
taskset-4, 10, 200, 10, 10, 440.95, 9.35935806, 18, 4.597742, 33623, 41.5, 34.4
base-taskset-4, 10, 200, 10, 10, 333.93, 6.90751745, , 0, , 36.4, 32.5
taskset-4, 10, 200, 10, 10, 455.10, 9.26811798, 31, 5.678678, 57559, 45.9, 43.2
base-taskset-4, 10, 200, 10, 10, 330.13, 6.88814015, , 0, , 42.2, 39.8
taskset-4, 10, 200, 10, 10, 454.91, 9.35811177, 22, 4.615144, 40987, 34.5, 32.0
base-taskset-4, 10, 200, 10, 10, 331.58, 6.93422603, , 0, , 42.0, 34.1
base-taskset-4, 10, 200, 25, 10, 340.89, 6.93047880, , 0, , 37.4, 34.9
taskset-4, 10, 200, 25, 10, 446.06, 9.39411747, 49, 5.4301, 90684, 36.1, 32.5
base-taskset-4, 10, 200, 25, 10, 329.01, 6.95527455, , 0, , 42.2, 33.5
taskset-4, 10, 200, 25, 10, 457.17, 9.31013802, 39, 6.77088, 72301, 37.6, 35.1
base-taskset-4, 10, 200, 25, 10, 326.97, 6.98724709, , 0, , 40.8, 38.5
taskset-4, 10, 200, 25, 10, 453.74, 9.43300447, 36, 4.543309, 66715, 37.9, 33.5
base-taskset-4, 10, 200, 25, 10, 334.91, 6.98000254, , 0, , 43.6, 37.8
taskset-4, 10, 200, 25, 10, 457.56, 9.38985020, 34, 7.430143, 63108, 43.6, 38.8
base-taskset-4, 10, 200, 25, 10, 327.84, 6.93286233, , 0, , 46.6, 41.4
taskset-4, 10, 200, 25, 10, 457.03, 9.33642284, 51, 5.948764, 94707, 35.4, 32.0
base-taskset-4, 10, 200, 25, 10, 333.95, 6.92364228, , 0, , 36.4, 34.0
taskset-4, 10, 200, 25, 10, 454.04, 9.36835216, 37, 5.841013, 68621, 34.2, 32.5
base-taskset-4, 10, 200, 25, 10, 329.71, 6.93756965, , 0, , 39.1, 33.0
taskset-4, 10, 200, 25, 10, 448.46, 9.33021306, 31, 6.659188, 57449, 36.4, 33.8
base-taskset-4, 10, 200, 25, 10, 336.07, 6.92069054, , 0, , 41.5, 32.5
taskset-4, 10, 200, 25, 10, 452.05, 9.46898367, 90, 5.306496, 166287, 34.5, 32.0
base-taskset-4, 10, 200, 25, 10, 334.12, 6.90074681, , 0, , 38.9, 34.1
taskset-4, 10, 200, 25, 10, 449.92, 9.34268867, 29, 3.318448, 54018, 42.8, 38.8
base-taskset-4, 10, 200, 25, 10, 355.22, 6.98730541, , 0, , 42.8, 39.1
taskset-4, 10, 200, 25, 10, 439.21, 9.39377911, 61, 2.661318, 112834, 37.4, 33.5
base-taskset-4, 10, 200, 25, 10, 332.31, 6.93158738, , 0, , 35.9, 32.5
taskset-4, 10, 200, 25, 10, 453.87, 9.35296520, 64, 7.742733, 118129, 33.8, 32.0
base-taskset-4, 10, 200, 25, 10, 337.20, 6.94204315, , 0, , 36.9, 34.0
taskset-4, 10, 200, 25, 10, 460.70, 9.33223177, 55, 1.459001, 101512, 34.8, 32.1
base-taskset-4, 10, 200, 25, 10, 330.89, 6.94026312, , 0, , 37.1, 35.1
taskset-4, 10, 200, 25, 10, 456.77, 9.30881084, 48, 7.518635, 88847, 37.1, 34.9
base-taskset-4, 10, 200, 25, 10, 325.31, 6.91969257, , 0, , 35.9, 32.8
taskset-4, 10, 200, 25, 10, 542.76, 9.60951548, 41, 6.776067, 75788, 34.5, 31.5
base-taskset-4, 10, 200, 25, 10, 607.26, 7.43788625, , 0, , 55.4, 43.2
taskset-4, 10, 200, 25, 10, 473.26, 9.42545626, 53, 5.723719, 97987, 63.4, 43.9
base-taskset-4, 10, 200, 25, 10, 329.83, 6.95156470, , 0, , 34.2, 32.0
taskset-4, 10, 200, 25, 10, 445.36, 9.38023616, 61, 2.942978, 112803, 37.1, 34.1
base-taskset-4, 10, 200, 25, 10, 325.14, 6.93156774, , 0, , 37.4, 34.4
