work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
taskset-5, 10, 200, 10, 10, 781.31, 10.05472028, 15, 6.585606, 28118, 50.6, 40.4
base-taskset-5, 10, 200, 10, 10, 567.99, 7.24597828, , 0, , 39.1, 38.8
taskset-5, 10, 200, 10, 10, 1174.11, 11.62912457, 37, 2.87690500000001, 68706, 39.4, 38.2
base-taskset-5, 10, 200, 10, 10, 560.30, 7.31574445, , 0, , 40.2, 39.4
taskset-5, 10, 200, 10, 10, 733.04, 9.82135114, 24, 4.931982, 44926, 37.9, 38.2
base-taskset-5, 10, 200, 10, 10, 523.10, 7.15049381, , 0, , 43.2, 38.2
base-taskset-5, 10, 200, 25, 10, 535.65, 7.22100673, , 0, , 38.4, 38.2
taskset-5, 10, 200, 25, 10, 709.54, 9.72479032, 51, 6.08949200000001, 94404, 39.4, 38.0
base-taskset-5, 10, 200, 25, 10, 516.49, 7.12970035, , 0, , 37.9, 37.8
taskset-5, 10, 200, 25, 10, 777.96, 10.05162976, 40, 7.601797, 74173, 38.9, 38.2
base-taskset-5, 10, 200, 25, 10, 635.68, 7.71064880, , 0, , 42.2, 39.9
taskset-5, 10, 200, 25, 10, 822.77, 10.27766546, 52, 4.49314100000001, 96159, 39.6, 38.8
base-taskset-5, 10, 200, 25, 10, 609.37, 7.53005402, , 0, , 41.8, 39.9
taskset-5, 10, 200, 25, 10, 849.37, 10.40791962, 62, 5.88494, 114758, 46.8, 44.6
base-taskset-5, 10, 200, 25, 10, 551.54, 7.20002911, , 0, , 38.6, 40.1
taskset-5, 10, 200, 25, 10, 884.97, 10.58194662, 70, 4.006996, 129723, 37.9, 40.1
base-taskset-5, 10, 200, 25, 10, 649.39, 7.63260828, , 0, , 66.0, 38.8
taskset-5, 10, 200, 25, 10, 803.29, 10.18406849, 91, 2.84600400000001, 168228, 39.9, 39.8
base-taskset-5, 10, 200, 25, 10, 621.46, 7.60688592, , 0, , 38.6, 38.8
taskset-5, 10, 200, 25, 10, 814.32, 10.23484556, 36, 3.52252300000001, 66792, 38.6, 37.8
base-taskset-5, 10, 200, 25, 10, 601.74, 7.54846437, , 0, , 39.4, 38.8
taskset-5, 10, 200, 25, 10, 770.68, 10.05979276, 45, 6.864233, 83221, 39.4, 38.2
base-taskset-5, 10, 200, 25, 10, 867.93, 8.61848651, , 0, , 56.2, 45.4
